time,dragonKilledTime,agentPickedKeyTime,agentExitTime
5.659997940063477,0.0,4.3599982261657715,5.659997940063477
7.859997272491455,0.0,6.419997692108154,7.859997272491455
12.239995956420898,6.139997959136963,11.079996109008789,12.239995956420898
15.459994316101074,8.419997215270996,13.6199951171875,15.459994316101074
20.35999298095703,8.419997215270996,17.439992904663086,20.35999298095703
23.439990997314453,15.839994430541992,22.079992294311523,23.439990997314453
28.57999038696289,15.839994430541992,26.69999122619629,28.57999038696289
33.0999870300293,26.619991302490234,29.499990463256836,33.0999870300293
42.69998550415039,28.89999008178711,39.99998474121094,42.69998550415039
45.55998229980469,28.89999008178711,44.23998260498047,45.55998229980469
50.09998321533203,28.89999008178711,48.17998123168945,50.09998321533203
55.2199821472168,28.89999008178711,51.49998092651367,55.2199821472168
59.2399787902832,51.019981384277344,56.37997817993164,59.2399787902832
62.999977111816406,51.019981384277344,61.95997619628906,62.999977111816406
66.39997863769531,55.97998046875,64.75997924804688,66.39997863769531
69.31997680664062,55.97998046875,67.21997833251953,69.31997680664062
72.55997467041016,55.97998046875,71.4999771118164,72.55997467041016
132.8999481201172,73.15997314453125,129.9999542236328,132.8999481201172
137.43995666503906,73.15997314453125,136.33995056152344,137.43995666503906
141.43995666503906,133.6199493408203,138.85995483398438,141.43995666503906
151.37994384765625,138.37994384765625,148.97994995117188,151.37994384765625
166.99993896484375,142.53994750976562,164.93994140625,166.99993896484375
172.2399444580078,154.41995239257812,170.61993408203125,172.2399444580078
179.31993103027344,167.77993774414062,177.0999298095703,179.31993103027344
184.23992919921875,173.39993286132812,181.7599334716797,184.23992919921875
187.7999267578125,173.39993286132812,186.0999298095703,187.7999267578125
191.0599365234375,173.39993286132812,189.73992919921875,191.0599365234375
197.51992797851562,188.89993286132812,194.77993774414062,197.51992797851562
280.659912109375,188.89993286132812,277.2799072265625,280.659912109375
283.33990478515625,276.19989013671875,282.45989990234375,283.33990478515625
288.659912109375,285.2598876953125,288.139892578125,288.659912109375
295.0398864746094,287.7799072265625,293.3798828125,295.0398864746094
301.139892578125,287.7799072265625,298.43988037109375,301.139892578125
323.3398742675781,297.3598937988281,321.8798828125,323.3398742675781
326.9998779296875,297.3598937988281,326.3798828125,326.9998779296875
334.07989501953125,304.6799011230469,331.4598693847656,334.07989501953125
349.4998779296875,297.3598937988281,347.7198791503906,349.4998779296875
